mbid,artist,bio,listeners,playcount,similar_artist
ba0fc370-3414-4009-82f8-fdf4c67c7584,Yantz, Read more on Last.fm,392,4690,Casper Locs
22889d97-2f5a-4984-9daa-0540ee0141a7,ZetaZeta, Read more on Last.fm,4170,75509,Zof ziro
947f21fa-4244-433c-8d51-bf43513d3f71,Natos y Waor,"Dúo de rap madrileño. Cuentan con 8 trabajos a sus espaldas: ¨POR LA JETA¨ (2011), ""CATARSIS"" (2012), ""HIJOS DE LA RUINA"" (2012, ft Recycled J), ""CAJA NEGRA"" (2014), MARTES 13 (ganador del Premio MIN a mejor álbum de Hip Hop de 2015), ""HIJOS DE LA RUINA Vol. 2"" (2016, ft Recycled J), ""CICATRICES"" (2018) e ""HIJOS DE LA RUINA Vol. 3"" (2021, ft Recycled J, que es a día de hoy el disco de hip hop más reproducido en España el día de su lanzamiento en la historia de las plataformas digitales). Read more on Last.fm",52154,2769322,FERNANDOCOSTA
6a6eea03-b435-446c-bab1-312b45580aee,Wisin,"Juan Luis Morera Luna, born 19 December 1978, is from Cayey, Puerto Rico. Wisin is better known as a rapper and occasional singer of the Reggaetón genre, from Wisin & Yandel duo.  Wisin is noted for his unique and aggressive style of rapping. Read more on Last.fm",442871,5092750,Yandel
0d6737d3-3f02-403f-b5b3-91c2c73df3b0,Blasfem, Read more on Last.fm,3757,39951,prok
a17ce9c3-8f6f-4dcc-a1b7-2a04ab9e31f0,Swae Lee,"Khalif Malik Ibn Shaman Brown (born June 7, 1993), known professionally as Swae Lee, is an American singer, rapper and composer. He is one half of the hip hop duo Rae Sremmurd with his brother Slim Jxmmi. Read more on Last.fm",369989,3539602,iann dior
07832b42-8826-4ab1-acd3-c49a2f595ffe,6LACK,"Ricardo Valdez Valentine Jr. (born June 24, 1992), known professionally as 6lack (stylized as 6LACK, pronounced ""black""), is an American singer, rapper, and songwriter. He initially gained notable recognition following the release of his single, ""Prblms"", taken from his debut album, Free 6lack, which was released in November 2016.[5] He released his second album, East Atlanta Love Letter in September 2018, which peaked at number three on the Billboard 200 chart. Read more on Last.fm",990663,38239648,Bryson Tiller
2f3f72f5-0425-46a5-a53f-476e89ecd0bb,Lester Nowhere,"Lester, Nowhere was born in '98. Originally named Arturo, he grew up listening to Black Sabbath while playing with Lego, Kurt Cobain while learning to draw, and Mogwai all along.

At the age of 12 he fell in love with hip hop, and never looked back. He's still in the process of trying to explain to his parents that music moved on even after the 90's.

Used to: be a student, play basketball, read Calvin & Hobbes. He quit everything to be a beatmaker, because he found everything he needed in that. Read more on Last.fm",61882,291585,Saito
883cbf1f-dcaa-4d17-b9ed-394e1fdabc87,Rex Orange County,"Alexander James O'Connor (born 4 May 1998), known professionally as Rex Orange County, is an English singer, multi-instrumentalist, and songwriter. O'Connor rose to prominence in 2017 following multiple features on Tyler, the Creator's Grammy-nominated album Flower Boy, including the single ""Boredom"". NPR Music journalist Zoë Jones has described O'Connor's music as ""a bright blend of hip-hop, jazz, and bedroom pop”.

Under the Rex Orange County moniker Read more on Last.fm",2024672,123446056,Daniel Caesar
e735c7c6-0eec-434b-87c9-0cb078a2bf6f,Lytos, Read more on Last.fm,8717,347358,Charlie USG
d5d5cf12-368c-42f2-96ed-7c70712dcc78,Captain Over, Read more on Last.fm,668,2160,Ignorants
3c81e9be-3a0b-4a8f-be34-1507d95f7ffc,Isaiah Pharaoh,Isaiah Pharaoh is a rapper and producer who is located in Charlotte North Carolina. Born in Trenton New Jeresy on September 8th 1998.He started making music around the age of 8. He started off djing but later got into production in 2009. In 2013 he released his self produced debut mixtape Falecia. Following the mixtape several music videos where released on his YouTube channel. Isaiah also directs and films his own music videos. He also has started his own label and movement called 20/20 which consist of music artist Read more on Last.fm,89,590,Larry League
